source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,So last year 37000 Americans died from the common Flu. It averages between 27000 and 70000 per year. Nothing is shut down life &amp; the economy go on. At this moment there are 546 confirmed cases of CoronaVirus with 22 deaths. Think about that!,03-09-2020 14:47:59,83030,291234,false,1237027356314869761
Twitter for iPhone,Our CoronaVirus Team has been doing a great job. Even Democrat governors have been VERY complimentary!,03-10-2020 14:44:11,13031,68152,false,1237388788776800256
Twitter for iPhone,Vanity Fair Magazine which will soon be out of business and their third rate Fake reporters who make up sources which don’t exist wrote yet another phony &amp; boring hit piece. The facts are just the opposite. Our team is doing a great job with CoronaVirus!,03-11-2020 14:22:00,21305,94745,false,1237745593876873217
Twitter for iPhone,Someone needs to tell the Democrats in Congress that CoronaVirus doesn’t care what party you are in. We need to protect ALL Americans!,03-11-2020 18:50:10,35525,165578,false,1237813081394348034
Twitter for iPhone,....Together we are putting into policy a plan to prevent detect treat and create a vaccine against CoronaVirus to save lives in America and the world. America will get it done!,03-11-2020 18:52:45,12441,57851,false,1237813728558678026
Twitter for iPhone,I want to thank all of our Great Government officials on the CoronaVirus Task Force who are working around the clock in response to the CoronaVirus. Continue to check https://t.co/boZM2NePJW for updates and follow all recommendations that are available....,03-11-2020 19:17:50,13809,55034,false,1237820042735226887
Twitter for iPhone,I am fully prepared to use the full power of the Federal Government to deal with our current challenge of the CoronaVirus!,03-11-2020 19:18:35,28409,156489,false,1237820230296010752
Twitter for iPhone,The Media should view this as a time of unity and strength. We have a common enemy actually an enemy of the World the CoronaVirus. We must beat it as quickly and safely as possible. There is nothing more important to me than the life &amp; safety of the United States!,03-11-2020 22:04:26,49526,254549,false,1237861968721010689
Twitter for iPhone,108 countries are dealing with the CoronaVirus problem some of which we are helping!,03-12-2020 20:02:21,22609,139490,false,1238193633825882113
Twitter for iPhone,Sleepy Joe Biden was in charge of the H1N1 Swine Flu epidemic which killed thousands of people. The response was one of the worst on record. Our response is one of the best with fast action of border closings &amp; a 78% Approval Rating the highest on record. His was lowest!,03-13-2020 02:20:56,36006,143240,false,1238288908431036423
Twitter for iPhone,For decades the @CDCgov looked at and studied  its testing system but did nothing about it. It would always be inadequate and slow for a large scale pandemic but a pandemic would never happen they hoped. President Obama made changes that only complicated things further.....,03-13-2020 10:22:17,23969,90111,false,1238410044263333894
Twitter for iPhone,To this point and because we have had a very strong border policy we have had 40 deaths related to CoronaVirus. If we had weak or open borders that number would be many times higher!,03-13-2020 14:52:59,30625,158720,false,1238478167695863817
Twitter for iPhone,I will be having a news conference today at 3:00 P.M. The White House. Topic: CoronaVirus!,03-13-2020 14:55:34,29255,150487,false,1238478818135945216
Twitter for iPhone,I fully support H.R. 6201: Families First CoronaVirus Response Act which will be voted on in the House this evening. This Bill will follow my direction for free CoronaVirus tests and paid sick leave for our impacted American workers. I have directed....,03-14-2020 00:42:25,24754,119568,false,1238626501555298308
Twitter for iPhone,Good teamwork between Republicans &amp; Democrats as the House passes the big CoronaVirus Relief Bill. People really pulled together. Nice to see!,03-14-2020 11:37:24,21946,146459,false,1238791333252399104
Twitter for iPhone,Attending meetings on Covid-19 in the White House. Working with States and local governments many of whom have done a great job. Full report latter!,03-14-2020 13:45:56,16309,98306,false,1238823680735612930
Twitter for iPhone,Just finished a meeting on Covid-19 in the Situation Room news conference coming up shortly. https://t.co/JaNDpyMWjL https://t.co/x9lSEXjnea,03-14-2020 16:14:08,11234,51491,false,1238860976176467969
Twitter for iPhone,COVID-19 UPDATE https://t.co/xzSHlNiS9K,03-14-2020 17:54:49,13544,53325,false,1238886316013760519
Twitter for iPhone,Just had a nice conversation with Prime Minister @JustinTrudeau of Canada. Great to hear that his wonderful wife Sophie is doing very well. The United States and Canada will continue to coordinate closely together on COVID-19.,03-14-2020 19:06:09,15236,94279,false,1238904264908582914
Twitter for iPhone,The @CDCgov has published guidelines on https://t.co/p9j7kZsD7b to enable every American to respond to this epidemic and to protect themselves their families and their communities.,03-14-2020 19:13:34,16453,57936,false,1238906131302494215
Twitter for iPhone,There will be a News Conference by the CoronaVirus Task Force today at the White House 5 P.M. @VP  We are working closely with the Governors of our Country’s great States which are a very big factor. They are working hard along with us to get the job properly done.....,03-15-2020 17:02:00,17163,73218,false,1239235409491767298
Twitter for iPhone,The United States will be powerfully supporting those industries like Airlines and others that are particularly affected by the Chinese Virus. We will be stronger than ever before!,03-16-2020 22:51:54,71907,327365,false,1239685852093169664
Twitter for iPhone,Cuomo wants “all states to be treated the same.” But all states aren’t the same. Some are being hit hard by the Chinese Virus some are being hit practically not at all. New York is a very big “hotspot” West Virginia has thus far zero cases. Andrew keep politics out of it....,03-17-2020 12:22:11,38683,180881,false,1239889767267008512
Twitter for iPhone,Federal Government is working very well with the Governors and State officials. Good things will happen! #KILLTHEVIRUS,03-17-2020 13:34:01,20885,105932,false,1239907845719691265
Twitter for iPhone,For the people that are now out of work because of the important and necessary containment policies for instance the shutting down of hotels bars and restaurants money will soon be coming to you. The onslaught of the Chinese Virus is not your fault! Will be stronger than ever!,03-18-2020 10:41:14,46312,222580,false,1240226752447873027
Twitter for iPhone,I will be having a news conference today to discuss very important news from the FDA concerning the Chinese Virus!,03-18-2020 11:12:49,35229,168718,false,1240234698053431305
Twitter for iPhone,I always treated the Chinese Virus very seriously and have done a very good job from the beginning including my very early decision to close the “borders” from China - against the wishes of almost all. Many lives were saved. The Fake News new narrative is disgraceful &amp; false!,03-18-2020 11:46:33,61070,310324,false,1240243188708839424
Twitter for iPhone,I only signed the Defense Production Act to combat the Chinese Virus should we need to invoke it in a worst case scenario in the future. Hopefully there will be no need but we are all in this TOGETHER!,03-18-2020 21:37:22,37574,207189,false,1240391871026864130
Twitter for iPhone,THANK YOU to our Police Officers Fire Fighters and EMS who help us defeat the Virus every day. Our proud nation is grateful for the unwavering dedication and sacrifice of our First Responders and their families. TOGETHER we will beat this!,03-19-2020 22:16:29,40309,227842,false,1240764105155391488
Twitter Media Studio,CHINESE VIRUS FACT CHECK https://t.co/qJugCylvE2,03-22-2020 02:53:27,67460,208973,false,1241558583193583617
Twitter for iPhone,My friend (always there when I’ve needed him!) Senator @RandPaul was just tested “positive” from the Chinese Virus. That is not good! He is strong and will get better. Just spoke to him and he was in good spirits.,03-23-2020 01:20:08,30735,196589,false,1241897485779468288
Twitter for iPhone,It is very important that we totally protect our Asian American community in the United States and all around the world. They are amazing people and the spreading of the Virus....,03-23-2020 21:31:19,35840,193304,false,1242202290393677829
Twitter for iPhone,Republicans had a deal until Nancy Pelosi rode into town from her extended vacation. The Democrats want the Virus to win? They are asking for things that have nothing to do with our great workers or companies. They want Open Borders &amp; Green New Deal. Republicans shouldn’t agree!,03-24-2020 03:33:07,49207,196282,false,1242293340151873536
Twitter for iPhone,The Hill/HarrisX: 61% to 39% Approval Rating on handling of Coronavirus situation. Thank you!,03-24-2020 03:43:45,14461,72471,false,1242296014633086976
Twitter for iPhone,Just finished a very good conversation with President Xi of China. Discussed in great detail the CoronaVirus that is ravaging large parts of our Planet. China has been through much &amp; has developed a strong understanding of the Virus. We are working closely together. Much respect!,03-27-2020 05:19:02,51444,337056,false,1243407157321560071
Twitter for iPhone,...&amp; costly. Workers &amp; small businesses need money now in order to survive. Virus wasn’t their fault. It is “HELL” dealing with the Dems had to give up some stupid things in order to get the “big picture” done. 90% GREAT! WIN BACK HOUSE but throw Massie out of Republican Party!,03-27-2020 13:44:50,15184,58630,false,1243534445367492608
Twitter for iPhone,We are marshalling the full power of government and society to achieve victory over the virus. Together we will endure we will prevail and we will WIN! #CARESAct https://t.co/zb2PJTldGQ,03-27-2020 21:13:10,22394,98407,false,1243647273462005760
Twitter for iPhone,I love Michigan one of the reasons we are doing such a GREAT job for them during this horrible Pandemic. Yet your Governor Gretchen “Half” Whitmer is way in over her ahead she doesn’t have a clue. Likes blaming everyone for her own ineptitude! #MAGA,03-28-2020 01:24:32,10235,40807,false,1243710532714192898
Twitter for iPhone,I love Michigan one of the reasons we are doing such a GREAT job for them during this horrible Pandemic. Yet your Governor Gretchen “Half” Whitmer is way in over her head she doesn’t have a clue. Likes blaming everyone for her own ineptitude! #MAGA,03-28-2020 02:29:57,25690,129008,false,1243726993537073152
Twitter for iPhone,On the recommendation of the White House CoronaVirus Task Force and upon consultation with the Governor’s of New York New Jersey and Connecticut I have asked the @CDCgov to issue a strong Travel Advisory to be administered by the Governors in consultation with the....,03-29-2020 00:19:25,24032,110053,false,1244056534583312384
Twitter for iPhone,“With the Tax Cuts and new Trade Deals we were set for a tremendous growth rate this year.... and then the Virus came along.” @larry_kudlow  @MariaBartiromo We were breaking all records especially on employment. It will all come roaring back again and fast!,03-29-2020 16:07:34,16623,80459,false,1244295140837122048
Twitter for iPhone,Polls are showing tremendous disapproval of Lamestream Media coverage of the Virus crisis. The Fake News just hasn’t figured that out yet!,03-29-2020 16:53:31,25788,122128,false,1244306707536326657
Twitter for iPhone,“President Trump is a ratings hit. Since reviving the daily White House briefing Mr. Trump and his coronavirus updates have attracted an average audience of 8.5 million on cable news roughly the viewership of the season finale of ‘The Bachelor.’ Numbers are continuing to rise...,03-29-2020 17:48:36,24866,126165,false,1244320570315018240
Twitter for iPhone,...The CBS News poll said 13 percent of Republicans trusted the news media for information about the virus.” Michael M. Grynbaum @NYTimes,03-29-2020 17:49:09,9183,43757,false,1244320704826310665
Twitter for iPhone,Nancy Pelosi and the Democrats delayed the Workers Help/Stimulus Bill by over a week trying to add real “junk” into the Bill. Got some bad things having nothing to do with those affected by the Virus included. Republicans need their votes until we WIN BACK THE HOUSE IN 2020!,03-30-2020 11:17:10,43360,190130,false,1244584449309892609
